Year,Population,Huji
1978,849.7,Huji
1979,870.6,Huji
1980,885.7,Huji
1981,900.8,Huji
1982,917.8,Huji
1983,933.2,Huji
1984,945.2,Huji
1985,957.9,Huji
1986,971.2,Huji
1987,988,Huji
1988,1001.2,Huji
1989,1021.1,Huji
1990,1032.2,Huji
1991,1039.5,Huji
1992,1044.9,Huji
1993,1051.2,Huji
1994,1061.8,Huji
1995,1070.3,Huji
1996,1077.7,Huji
1997,1085.5,Huji
1998,1091.5,Huji
1999,1099.8,Huji
2000,1107.5,Huji
2001,1122.3,Huji
2002,1136.3,Huji
2003,1148.8,Huji
2004,1162.9,Huji
2005,1180.7,Huji
2006,1197.6,Huji
2007,1213.3,Huji
2008,1229.9,Huji
2009,1245.8,Huji
2010,1257.2,Huji
2011,1276.4,Huji
2012,1295.5,Huji
2013,1312.1,Huji
2014,1332.9,Huji
2015,1347.9,Huji
1978,21.8,Without
1979,26.5,Without
1980,18.6,Without
1981,18.4,Without
1982,17.2,Without
1983,16.8,Without
1984,19.8,Without
1985,23.1,Without
1986,56.8,Without
1987,59,Without
1988,59.8,Without
1989,53.9,Without
1990,53.8,Without
1991,54.5,Without
1992,57.1,Without
1993,60.8,Without
1994,63.2,Without
1995,180.8,Without
1996,181.7,Without
1997,154.5,Without
1998,154.1,Without
1999,157.4,Without
2000,256.1,Without
2001,262.8,Without
2002,286.9,Without
2003,307.6,Without
2004,329.8,Without
2005,357.3,Without
2006,403.4,Without
2007,462.7,Without
2008,541.1,Without
2009,614.2,Without
2010,704.7,Without
2011,742.2,Without
2012,773.8,Without
2013,802.7,Without
2014,818.7,Without
2015,822.6,Without
